epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.955,1.58805,2.07571,1.06757,0.49061,0.26729,0.24203,0.14091,1.50835,1.25888,1.05557,0.000301371,0.000301371,0.000301371
2,234.697,1.48578,1.23022,1.05628,0.37882,0.29289,0.26626,0.15042,1.51815,1.16713,1.05987,0.000580438,0.000580438,0.000580438
3,341.631,1.46777,1.1599,1.05335,0.49431,0.29375,0.29636,0.16374,1.4949,1.11961,1.0835,0.000835507,0.000835507,0.000835507
4,450.297,1.4389,1.08539,1.04607,0.50521,0.34313,0.34258,0.19196,1.46007,1.05584,1.06222,0.000801011,0.000801011,0.000801011
5,555.593,1.42699,1.04619,1.04489,0.48081,0.34625,0.3331,0.18816,1.45863,1.04319,1.05598,0.000765014,0.000765014,0.000765014
6,662.362,1.41041,1.01454,1.03543,0.5378,0.34213,0.35032,0.19606,1.46614,1.03507,1.0659,0.000729018,0.000729018,0.000729018
7,768.494,1.37925,0.96705,1.0248,0.52049,0.35663,0.36192,0.20718,1.42355,0.97469,1.05413,0.000693022,0.000693022,0.000693022
8,875.017,1.36332,0.94263,1.0207,0.58328,0.34015,0.37366,0.22028,1.40021,0.96671,1.04657,0.000657025,0.000657025,0.000657025
9,979.644,1.35667,0.92735,1.01914,0.5263,0.34825,0.37256,0.21676,1.39362,0.9638,1.04751,0.000621029,0.000621029,0.000621029
10,1085.11,1.348,0.91758,1.01789,0.54701,0.36344,0.3947,0.22352,1.37758,0.93616,1.03976,0.000585032,0.000585032,0.000585032
11,1189.63,1.34027,0.90601,1.01435,0.55195,0.36154,0.37178,0.2096,1.3905,0.97057,1.04431,0.000549036,0.000549036,0.000549036
12,1294.58,1.31298,0.8813,1.00463,0.56971,0.37208,0.39778,0.22778,1.37368,0.92031,1.03466,0.00051304,0.00051304,0.00051304
13,1398.25,1.32359,0.8738,1.00604,0.64998,0.35683,0.40984,0.23999,1.35368,0.89464,1.0281,0.000477043,0.000477043,0.000477043
14,1503.55,1.30584,0.8615,1.00067,0.61266,0.36922,0.42178,0.24301,1.36862,0.89614,1.03276,0.000441047,0.000441047,0.000441047
15,1608.16,1.29798,0.85105,0.99847,0.61786,0.37226,0.41889,0.24636,1.34638,0.89056,1.0268,0.00040505,0.00040505,0.00040505
16,1721.06,1.30467,0.86201,1.00516,0.57583,0.37388,0.40751,0.24072,1.35723,0.89121,1.02474,0.000369054,0.000369054,0.000369054
17,1825.31,1.28729,0.83809,1.00102,0.57623,0.37705,0.40768,0.23734,1.35417,0.89196,1.02776,0.000333058,0.000333058,0.000333058
18,1931.69,1.27956,0.82692,0.99585,0.55361,0.38881,0.4109,0.24049,1.33848,0.88397,1.01946,0.000297061,0.000297061,0.000297061
19,2037.22,1.26818,0.81511,0.99008,0.60696,0.37352,0.42688,0.24907,1.32987,0.86584,1.01964,0.000261065,0.000261065,0.000261065
20,2143.68,1.25594,0.80614,0.98687,0.5809,0.39454,0.42384,0.24605,1.34014,0.87952,1.02429,0.000225068,0.000225068,0.000225068
21,2249.65,1.24715,0.79544,0.98464,0.59828,0.38092,0.4299,0.25047,1.32285,0.85905,1.01723,0.000189072,0.000189072,0.000189072
22,2357.75,1.23865,0.78781,0.98232,0.59735,0.38483,0.42772,0.24657,1.32808,0.85797,1.01642,0.000153076,0.000153076,0.000153076
23,2464.92,1.23388,0.77847,0.97974,0.58977,0.40216,0.43851,0.25724,1.31242,0.84712,1.0115,0.000117079,0.000117079,0.000117079
24,2574.72,1.22264,0.77104,0.97626,0.6036,0.38772,0.43907,0.25959,1.30809,0.84256,1.0102,8.10828e-05,8.10828e-05,8.10828e-05
25,2681.39,1.21692,0.76598,0.97596,0.62693,0.38603,0.4403,0.2603,1.30502,0.83794,1.00841,4.50864e-05,4.50864e-05,4.50864e-05
