domain,mean_brightness
clear,82.22033262252808
clear,91.84336280822754
clear,87.47190237045288
clear,67.71003818511963
clear,75.16015338897705
clear,72.21634769439697
clear,87.03286027908325
clear,85.69315767288208
clear,89.04993343353271
clear,70.33526754379272
clear,93.3087797164917
clear,81.50217390060425
clear,94.52192449569702
clear,75.75471591949463
clear,90.51617050170898
clear,92.38580322265625
clear,71.81460094451904
clear,82.84149026870728
clear,75.46743106842041
clear,91.30619478225708
clear,69.85551118850708
clear,85.60618829727173
clear,83.82532167434692
clear,90.02739429473877
clear,102.13094520568848
clear,74.63530731201172
clear,72.27416706085205
clear,56.09416389465332
clear,77.14934921264648
clear,79.40425443649292
clear,74.54240798950195
clear,88.4756531715393
clear,89.02023077011108
clear,87.44138193130493
clear,91.49285411834717
clear,92.35199069976807
clear,69.78848123550415
clear,95.8120470046997
clear,77.15508937835693
clear,77.44023323059082
clear,73.23916482925415
clear,71.28147649765015
clear,73.08150815963745
clear,85.60842275619507
clear,41.58876132965088
clear,80.69244575500488
clear,82.13855981826782
clear,80.55533266067505
clear,92.37170600891113
clear,91.92918252944946
clear,65.81778001785278
clear,84.58235883712769
clear,59.060848236083984
clear,100.2492127418518
clear,72.42762756347656
clear,87.0720272064209
clear,91.15117359161377
clear,88.68731260299683
clear,70.65660762786865
clear,80.70658206939697
clear,73.04843330383301
clear,85.5012059211731
clear,76.0983362197876
clear,78.54408836364746
clear,80.8798246383667
clear,71.92693853378296
clear,86.81472253799438
clear,68.28470611572266
clear,69.89321899414062
clear,71.1885085105896
clear,91.08075952529907
clear,72.59091186523438
clear,88.39649629592896
clear,93.94662237167358
clear,92.04025506973267
clear,84.38262939453125
clear,77.2126898765564
clear,86.25680780410767
clear,68.06536865234375
clear,89.66024446487427
clear,73.80376720428467
clear,73.96788835525513
clear,86.58364009857178
clear,65.68110990524292
clear,65.11784410476685
clear,77.65969181060791
clear,80.30751419067383
clear,85.25211095809937
clear,87.32008600234985
clear,71.4586353302002
clear,72.0877480506897
clear,97.82899141311646
clear,83.80004358291626
clear,72.23028707504272
clear,77.9496111869812
clear,64.9822096824646
clear,71.47138357162476
clear,74.12923336029053
clear,69.00485801696777
clear,98.05777597427368
clear,76.18175411224365
clear,56.994648933410645
clear,92.11320638656616
clear,73.68590259552002
clear,92.45609521865845
clear,87.20636081695557
clear,62.82070064544678
clear,80.70472860336304
clear,82.20024013519287
clear,84.21082258224487
clear,77.22306966781616
clear,89.08762216567993
clear,90.10435104370117
clear,94.40726232528687
clear,76.53441762924194
clear,92.70795202255249
clear,74.78711414337158
clear,63.36518430709839
clear,83.91133975982666
clear,92.34656524658203
foggy,95.96832656860352
foggy,132.23062181472778
foggy,96.28391361236572
foggy,156.28305387496948
foggy,97.74241876602173
foggy,76.60825777053833
foggy,123.50561666488647
foggy,138.6550054550171
foggy,110.13108921051025
foggy,96.94946718215942
foggy,139.0635838508606
foggy,129.37016916275024
foggy,110.22036838531494
foggy,133.6855330467224
foggy,73.91777324676514
foggy,109.87343978881836
foggy,114.30997276306152
foggy,120.43898391723633
foggy,131.8730812072754
foggy,122.22205400466919
foggy,97.22972583770752
foggy,109.31347608566284
foggy,110.92739677429199
foggy,95.80980062484741
foggy,104.81702661514282
foggy,157.9368314743042
foggy,106.98230361938477
foggy,136.86857557296753
foggy,119.59036779403687
foggy,131.4151735305786
foggy,89.56790494918823
foggy,138.142493724823
foggy,107.30351734161377
foggy,95.99875354766846
foggy,96.71946239471436
foggy,100.08529233932495
foggy,89.84263277053833
foggy,98.56558322906494
foggy,91.34232664108276
foggy,115.37980842590332
foggy,100.81702756881714
foggy,136.08373641967773
foggy,110.3013801574707
foggy,127.07449388504028
foggy,121.28900957107544
foggy,152.2568244934082
foggy,152.00127506256104
foggy,122.93454694747925
foggy,94.12529563903809
foggy,167.1467046737671
foggy,127.13467025756836
foggy,101.70220136642456
foggy,97.00535106658936
foggy,154.06069946289062
foggy,145.8459792137146
foggy,104.32075548171997
foggy,96.78878211975098
foggy,100.21416234970093
foggy,120.5620608329773
foggy,110.32726716995239
foggy,113.95453262329102
foggy,119.27095031738281
foggy,105.48124694824219
foggy,101.7112865447998
foggy,98.65124797821045
foggy,104.41817045211792
foggy,101.36571741104126
foggy,87.86863422393799
foggy,90.77155017852783
foggy,146.03371858596802
foggy,138.9682149887085
foggy,114.29727363586426
foggy,152.02712965011597
foggy,161.1487054824829
foggy,99.32887601852417
foggy,110.74966478347778
foggy,139.80665397644043
foggy,111.94191789627075
foggy,112.55504560470581
foggy,150.07219791412354
foggy,122.0497088432312
foggy,122.25964498519897
foggy,125.84261751174927
foggy,110.2886233329773
foggy,133.43765211105347
foggy,115.92131567001343
foggy,117.19506931304932
foggy,126.89173030853271
foggy,120.51460218429565
foggy,141.9050579071045
foggy,144.53202152252197
foggy,84.28325843811035
foggy,97.95869016647339
foggy,146.9980926513672
foggy,129.21834087371826
foggy,108.66582250595093
foggy,122.42059850692749
foggy,119.79635906219482
foggy,91.73689889907837
foggy,119.28378105163574
foggy,118.87066698074341
foggy,127.54082727432251
foggy,94.58674812316895
foggy,75.39192724227905
foggy,136.0776481628418
foggy,138.21081638336182
foggy,104.05291604995728
foggy,92.43970918655396
foggy,156.19706964492798
foggy,141.86550569534302
foggy,150.71445274353027
foggy,116.1580114364624
foggy,129.89862728118896
foggy,109.50438261032104
foggy,97.66964626312256
foggy,126.10190343856812
foggy,147.6540937423706
foggy,109.15972375869751
foggy,143.66930437088013
foggy,117.3238172531128
